iter	Passed	Remaining
723	94818	36146
724	94913	36001
725	95096	35890
726	95303	35787
727	95372	35633
728	95433	35476
729	95503	35323
730	95588	35175
731	95645	35017
732	95716	34865
733	95769	34706
734	95853	34559
735	95923	34407
736	95986	34252
737	96050	34099
738	96133	33952
739	96198	33799
740	96265	33647
741	96320	33491
742	96386	33339
743	96443	33184
744	96491	33027
745	96547	32872
746	96604	32718
747	96666	32566
748	96722	32412
749	96783	32261
750	96853	32112
751	96913	31960
752	96973	31809
753	97021	31654
754	97073	31500
755	97182	31365
756	97246	31216
757	97462	31115
758	97718	31027
759	97798	30883
760	97869	30737
761	97937	30589
762	98025	30448
763	98112	30307
764	98179	30159
765	98256	30015
766	98322	29868
767	98384	29720
768	98462	29577
769	98535	29432
770	98606	29287
771	98683	29144
772	98755	29000
773	98821	28854
774	98899	28712
775	98986	28573
776	99050	28427
777	99127	28285
778	99187	28139
779	99234	27989
780	99302	27845
781	99363	27699
782	99422	27553
783	99479	27407
784	99545	27264
785	99604	27118
786	99650	26970
787	99717	26827
788	99765	26679
789	99827	26536
790	99888	26392
791	99947	26248
792	100002	26104
793	100112	25973
794	100196	25836
795	100253	25693
796	100318	25551
797	100397	25413
798	100463	25273
799	100527	25131
800	100638	25002
801	100706	24862
802	100775	24723
803	100839	24582
804	100900	24441
805	100971	24303
806	101046	24166
807	101112	24026
808	101172	23886
809	101232	23745
810	101318	23611
811	101433	23484
812	101518	23350
813	101655	23228
814	101757	23098
815	101847	22965
816	101955	22836
817	102072	22710
818	102156	22576
819	102230	22440
820	102324	22309
821	102406	22175
822	102475	22038
823	102531	21899
824	102592	21761
825	102673	21628
826	102748	21493
827	102855	21366
828	102958	21237
829	103121	21121
830	103249	20997
831	103383	20875
832	103466	20742
833	103546	20610
834	103604	20472
835	103672	20337
836	103751	20204
837	103814	20069
838	103908	19939
839	104015	19812
840	104117	19684
841	104219	19556
842	104292	19423
843	104369	19291
844	104426	19155
845	104497	19022
846	104555	18886
847	104638	18756
848	104689	18619
849	104751	18485
850	104810	18351
851	104876	18217
852	104951	18086
853	105014	17953
854	105066	17818
855	105132	17685
856	105193	17552
857	105247	17418
858	105296	17283
859	105359	17151
860	105454	17024
861	105539	16896
862	105632	16769
863	105690	16636
864	105763	16506
865	105828	16375
866	105909	16246
867	105975	16116
868	106037	15984
869	106105	15854
870	106175	15725
871	106232	15593
872	106293	15463
873	106358	15333
874	106446	15206
875	106508	15076
876	106580	14948
877	106644	14818
878	106767	14697
879	106826	14567
880	106896	14438
881	106965	14310
882	107043	14183
883	107107	14054
884	107161	13924
885	107214	13795
886	107277	13666
887	107348	13539
888	107394	13409
889	107462	13281
890	107526	13154
891	107581	13025
892	107641	12897
893	107696	12769
894	107759	12642
895	107813	12514
896	107876	12387
897	107947	12261
898	108027	12136
899	108095	12010
900	108160	11884
901	108234	11759
902	108330	11636
903	108412	11512
904	108477	11387
905	108545	11261
906	108624	11137
907	108682	11011
908	108765	10888
909	108838	10764
910	108896	10638
911	108960	10513
912	109278	10413
913	109495	10302
914	109579	10179
915	109649	10055
916	109704	9929
917	109768	9805
918	109814	9679
919	109874	9554
920	109927	9429
921	109985	9304
922	110032	9179
923	110079	9054
924	110133	8929
925	110199	8806
926	110258	8682
927	110313	8558
928	110362	8434
929	110440	8312
930	110509	8190
931	110583	8068
932	110648	7945
933	110747	7825
934	110801	7702
935	110868	7580
936	110931	7458
937	111010	7337
938	111064	7215
939	111147	7094
940	111226	6973
941	111299	6852
942	111371	6731
943	111442	6610
944	111541	6491
945	111636	6372
946	111729	6253
947	111795	6132
948	111862	6011
949	111937	5891
950	112019	5771
951	112070	5650
952	112120	5529
953	112166	5408
954	112228	5288
955	112292	5168
956	112345	5047
957	112397	4927
958	112450	4807
959	112513	4688
960	112566	4568
961	112629	4448
962	112676	4329
963	112739	4210
964	112798	4091
965	112860	3972
966	112947	3854
967	113036	3736
968	113093	3618
969	113168	3500
970	113282	3383
971	113409	3266
972	113503	3149
973	113588	3032
974	113668	2914
975	113733	2796
976	113797	2678
977	113855	2561
978	113936	2443
979	113999	2326
980	114054	2209
981	114115	2091
982	114170	1974
983	114242	1857
984	114318	1740
985	114371	1623
986	114458	1507
987	114513	1390
988	114571	1274
989	114628	1157
990	114693	1041
991	114750	925
992	114803	809
993	114862	693
994	114944	577
995	115003	461
996	115055	346
997	115103	230
998	115171	115
999	115265	0
