iter	RMSE
416	1.614071928
417	1.614063677
418	1.614056017
419	1.614051165
420	1.614043304
421	1.614032975
422	1.614027931
423	1.614022025
424	1.614016317
425	1.614008364
426	1.614005334
427	1.61399629
428	1.613993118
429	1.613985471
430	1.613982244
431	1.613973455
432	1.613970406
433	1.613963423
434	1.613958702
435	1.613950197
436	1.613943726
437	1.613932436
438	1.613926342
439	1.613921485
440	1.613915966
441	1.613911833
442	1.613907613
443	1.613900353
444	1.613896089
445	1.613887953
446	1.613882594
447	1.61387776
448	1.613872988
449	1.61386448
450	1.613861956
451	1.613859894
452	1.613854682
453	1.613846233
454	1.613841718
455	1.613832602
456	1.61382628
457	1.613818126
458	1.613813101
459	1.613810036
460	1.613804102
461	1.613800969
462	1.613796078
463	1.613795522
464	1.613792003
465	1.613788111
466	1.613786036
467	1.613780797
468	1.613773905
469	1.613771423
470	1.613769478
471	1.61376183
472	1.613760195
473	1.613755814
474	1.613753042
475	1.613746353
476	1.613737631
477	1.61373357
478	1.613728425
479	1.613727061
480	1.613726366
481	1.613721259
482	1.613716806
483	1.613714795
484	1.613712562
485	1.613708592
486	1.613703029
487	1.613702213
488	1.613700582
489	1.613697894
490	1.613693805
491	1.613690495
492	1.613688515
493	1.613684058
494	1.613682695
495	1.613677181
496	1.613672916
497	1.613669577
498	1.613665868
499	1.613665437
500	1.613661791
501	1.613659064
502	1.61365381
503	1.61365035
504	1.613644516
505	1.613637572
506	1.613630938
507	1.613622678
508	1.613621002
509	1.613616498
510	1.613614018
511	1.613612677
512	1.613608098
513	1.613603319
514	1.613602695
515	1.613599969
516	1.61359795
517	1.613591373
518	1.613590043
519	1.613588579
520	1.613581642
521	1.613578375
522	1.613576115
523	1.613574332
524	1.613571912
525	1.613569355
526	1.61356473
527	1.613562888
528	1.613560183
529	1.613557415
530	1.613554982
531	1.613552837
532	1.61355066
533	1.613548615
534	1.613547409
535	1.613544922
536	1.613542271
537	1.613541481
538	1.613535519
539	1.613529801
540	1.613526076
541	1.613521826
542	1.613518584
543	1.613517621
544	1.61351424
545	1.61351263
546	1.613508155
547	1.613504938
548	1.613503576
549	1.613501356
550	1.613499433
551	1.613496875
552	1.613492444
553	1.613491645
554	1.61349052
555	1.613489424
556	1.613488344
557	1.613485662
558	1.613481127
559	1.613475154
560	1.613471956
561	1.613469383
562	1.613465356
563	1.613463974
564	1.613462299
565	1.613461717
566	1.613460953
567	1.61346049
568	1.613457811
569	1.613451458
570	1.61345033
571	1.613449998
572	1.613447307
573	1.613445122
574	1.613444447
575	1.613443023
576	1.613439643
577	1.613436394
578	1.613434559
579	1.61343297
580	1.613429866
581	1.613424444
582	1.613422284
583	1.613420851
584	1.613417231
585	1.613411856
586	1.613410916
587	1.613406305
588	1.613405621
589	1.613403646
590	1.613402635
591	1.613401585
592	1.613398689
593	1.613395771
594	1.613394546
595	1.613392434
596	1.613389823
597	1.613386355
598	1.613384461
599	1.613378227
600	1.613375505
601	1.613373206
602	1.61337022
603	1.613369345
604	1.613366002
605	1.613364155
606	1.613360051
607	1.613357633
608	1.613353998
609	1.613352401
610	1.613350498
611	1.61334607
612	1.613344569
613	1.613342051
614	1.613341001
615	1.613340383
616	1.613339462
617	1.613336005
618	1.613331995
619	1.6133303
620	1.613327448
621	1.613327012
622	1.613322621
623	1.613321861
624	1.613319082
625	1.613317053
626	1.613313765
627	1.61331318
628	1.613311698
629	1.613310666
630	1.613307074
631	1.613306059
632	1.613304381
633	1.613303291
634	1.613298342
635	1.613295821
636	1.613293993
637	1.613290315
638	1.613287609
639	1.613286849
640	1.613285975
641	1.613282234
642	1.613280282
643	1.613277538
644	1.613274298
645	1.61326983
646	1.613267923
647	1.613267157
648	1.613266137
649	1.613264367
650	1.61326388
651	1.613261375
652	1.613259279
653	1.61325645
654	1.6132544
655	1.613254
656	1.613252082
657	1.613250246
658	1.613249765
659	1.613249342
660	1.613247792
661	1.613245727
662	1.613242537
663	1.613240487
664	1.613238668
665	1.613238094
666	1.613235715
667	1.613232288
668	1.613229324
669	1.613228488
670	1.613227839
671	1.613226973
672	1.613225034
673	1.61322432
674	1.613221118
675	1.613220102
676	1.613216087
677	1.613212963
678	1.613210383
679	1.613209841
680	1.61320804
681	1.613207902
682	1.613204352
683	1.613203649
684	1.613202297
685	1.613200196
686	1.613199285
687	1.613198971
688	1.613196488
689	1.613194307
690	1.613193546
691	1.613191467
692	1.613190025
693	1.613188422
694	1.613186436
695	1.613184944
696	1.613183577
697	1.613183336
698	1.613182235
699	1.613179763
700	1.613178848
701	1.613178291
702	1.613176081
703	1.613173647
704	1.613170822
705	1.613169215
706	1.613167917
707	1.613165359
708	1.613163797
709	1.613163034
710	1.613160931
711	1.613160597
712	1.613158046
713	1.613155853
714	1.61315375
715	1.613152253
716	1.613151712
717	1.613148875
718	1.61314744
719	1.61314502
720	1.6131447
721	1.613144202
722	1.613143031
723	1.613142817
724	1.61314144
725	1.613140881
726	1.613138335
727	1.613135315
728	1.613134789
729	1.613133374
730	1.613131785
731	1.613131467
732	1.613131081
733	1.613130546
734	1.613129196
735	1.613128601
736	1.613127337
737	1.613127097
738	1.613125893
739	1.613123297
740	1.613122921
741	1.613122654
742	1.613121667
743	1.613120844
744	1.613119898
745	1.613117371
746	1.613117253
747	1.61311622
748	1.613113746
749	1.613112981
750	1.613111852
751	1.613111699
752	1.613111129
753	1.613108906
754	1.613107422
755	1.613105877
756	1.613105709
757	1.613103917
758	1.613102426
759	1.613100665
760	1.613100392
761	1.613100215
762	1.613099779
763	1.613099406
764	1.613098217
765	1.613097801
766	1.613096005
767	1.613095289
768	1.613094639
769	1.613092646
770	1.613090948
771	1.613089763
772	1.613088345
773	1.613087083
774	1.613085837
775	1.613085622
776	1.613084731
777	1.613083113
778	1.613082894
779	1.61308156
780	1.613080506
781	1.613080136
782	1.613078681
783	1.613078331
784	1.613077613
785	1.61307624
786	1.613074097
787	1.613073468
788	1.613073214
789	1.61307243
790	1.613072278
791	1.613071436
792	1.613070453
793	1.61306832
794	1.613067296
795	1.613065971
796	1.613064965
797	1.613064239
798	1.61306261
799	1.6130609
800	1.613058526
801	1.613057359
802	1.613057031
803	1.613056212
804	1.613054859
805	1.613054701
806	1.61305383
807	1.613053718
808	1.613052082
809	1.613051296
810	1.613049851
811	1.613049649
812	1.613049011
813	1.613048094
814	1.613047434
815	1.613047065
816	1.613046776
817	1.613045918
818	1.613045506
819	1.613045142
820	1.61304492
821	1.613044821
822	1.613043127
823	1.613042482
824	1.61304159
825	1.613040441
826	1.613040024
827	1.613037767
828	1.613036883
829	1.61303639
830	1.613034722
831	1.613033286
832	1.613032001
833	1.613030381
834	1.613030251
835	1.613029275
836	1.613027606
837	1.613027058
838	1.613025369
839	1.61302525
840	1.613024264
841	1.613023763
842	1.613022494
843	1.613021636
844	1.613020433
845	1.613019471
846	1.613018613
847	1.613018285
848	1.613017877
849	1.613017062
850	1.61301565
851	1.613014935
852	1.613013516
853	1.613012716
854	1.613012186
855	1.61301077
856	1.613009364
857	1.61300914
858	1.613008216
859	1.613007747
860	1.613007552
861	1.613007246
862	1.613006235
863	1.613005886
864	1.613005312
865	1.613004743
866	1.613004362
867	1.613003497
868	1.61300287
869	1.613001536
870	1.613001082
871	1.613000358
872	1.612999755
873	1.612999097
874	1.612997908
875	1.612997073
876	1.612996083
877	1.612995126
878	1.612994385
879	1.612993302
880	1.612992418
881	1.612992205
882	1.612991271
883	1.612990702
884	1.612990627
885	1.61298999
886	1.612989822
887	1.612988806
888	1.612988737
889	1.612987855
890	1.612987063
891	1.612986796
892	1.612986257
893	1.612985816
894	1.612984141
895	1.612982997
896	1.612982251
897	1.612981938
898	1.612981474
899	1.612981254
900	1.612980401
901	1.612979476
902	1.612979076
903	1.61297809
904	1.612977284
905	1.612976921
906	1.612976688
907	1.612974999
908	1.612973855
909	1.612972779
910	1.612972728
911	1.612972514
912	1.612972174
913	1.612970994
914	1.612970448
915	1.612968877
916	1.612968005
917	1.612967728
918	1.612967053
919	1.612965624
920	1.612965384
921	1.612964865
922	1.612964106
923	1.612963206
924	1.612962886
925	1.612962104
926	1.612961547
927	1.612961367
928	1.612961269
929	1.612960694
930	1.612959485
931	1.612959056
932	1.61295817
933	1.612957265
934	1.612956922
935	1.612956581
936	1.612955482
937	1.612955416
938	1.612954576
939	1.612953341
940	1.612952558
941	1.612951851
942	1.612951657
943	1.612951051
944	1.612950409
945	1.612949749
946	1.612949245
947	1.612948863
948	1.61294818
949	1.61294804
950	1.6129477
951	1.612947617
952	1.61294728
953	1.612946298
954	1.612945719
955	1.612945194
956	1.612945138
957	1.612944627
958	1.612944399
959	1.612944258
960	1.612943287
961	1.612943117
962	1.612942257
963	1.6129419
964	1.612941383
965	1.612941092
966	1.612941051
967	1.612940547
968	1.61293987
969	1.612939605
970	1.612938814
971	1.612938643
972	1.612938162
973	1.612937631
974	1.612936711
975	1.61293603
976	1.612935665
977	1.612935273
978	1.612935002
979	1.612934678
980	1.61293431
981	1.612933536
982	1.612933324
983	1.612933155
984	1.612932819
985	1.612932503
986	1.612931603
987	1.612930889
988	1.612930511
989	1.612929777
990	1.612929365
991	1.612929224
992	1.612928775
993	1.612928558
994	1.612928373
995	1.612928224
996	1.612928065
997	1.6129272
998	1.612927055
999	1.61292641
