valid_time,v10,u10,era5_ws
2020-01-04 08:00:00,1.0319519,-1.0642309,1.1087632847155169
2020-01-04 09:00:00,0.6834457,-0.64421904,0.7024834329289429
2020-01-04 10:00:00,0.20104581,-0.11839932,0.17451129610494034
2020-01-04 11:00:00,-0.6404894,0.45400435,0.5871995302854937
2020-01-04 12:00:00,-1.2837906,0.7074583,1.0963583979758762
2020-01-04 13:00:00,-1.6671,0.79949766,1.3828842260371328
2020-01-04 14:00:00,-1.7529106,0.8057449,1.4429681116185353
2020-01-04 15:00:00,-1.6899853,0.72157,1.3744226354599796
2020-01-04 16:00:00,-1.5538034,0.58921665,1.242923078903647
2020-01-04 17:00:00,-1.1184502,0.60851485,0.9523450151662884
2020-01-04 18:00:00,-0.41229558,0.57594836,0.5297818066825891
2020-01-04 19:00:00,-0.12444991,-0.1416291,0.14101720826571046
2020-01-04 20:00:00,0.46747553,-0.29362816,0.41290074530986415
2020-01-04 21:00:00,0.75116706,-0.4567393,0.6575433307603499
2020-01-04 22:00:00,0.8979063,-0.541936,0.7844328651958434
2020-01-04 23:00:00,1.0598564,-0.58923244,0.9069937647892239
2020-01-05 00:00:00,1.1982193,-0.74440837,1.0550812475052584
2020-01-05 01:00:00,1.0531034,-0.74601066,0.9652796987682645
2020-01-05 02:00:00,1.012516,-0.7507818,0.9427928397249805
2020-01-05 03:00:00,1.0774422,-0.70320433,0.9623250158312291
2020-01-05 04:00:00,1.149663,-0.67233497,0.9961403416681092
2020-01-05 05:00:00,1.2305622,-0.7206282,1.0666076993133844
2020-01-05 06:00:00,1.2674656,-0.77460635,1.1110243667587976
2020-01-05 07:00:00,1.1706734,-0.8269085,1.072013479313783
2020-01-05 08:00:00,1.1086044,-0.7965594,1.0210314760392918
2020-01-05 09:00:00,0.7831875,-0.5045012,0.6968014975194295
2020-01-05 10:00:00,0.028552964,0.060674798,0.05015569881194285
2020-01-05 11:00:00,-0.6767343,0.56225276,0.6580683867736425
2020-01-05 12:00:00,-1.1060629,1.0160427,1.1233512784871207
2020-01-05 13:00:00,-1.5123281,1.3566456,1.519578841430526
2020-01-05 14:00:00,-1.749239,1.4194288,1.68490239244681
2020-01-05 15:00:00,-1.7256832,1.2579374,1.5972545786230714
2020-01-05 16:00:00,-1.5138893,1.0037479,1.3585910605663756
2020-01-05 17:00:00,-0.88480365,0.85808486,0.921889410955656
2020-01-05 18:00:00,0.080714345,0.7898522,0.5938473923295945
2020-01-05 19:00:00,0.08766425,0.19205737,0.15790636732697402
2020-01-05 20:00:00,0.78988045,0.004602216,0.5908019631778202
2020-01-05 21:00:00,0.8903766,-0.08111602,0.6687160930152295
2020-01-05 22:00:00,0.7268525,0.090967536,0.5478911968614684
2020-01-05 23:00:00,0.7120228,0.24460012,0.5631061615211359
2020-01-06 00:00:00,0.8017274,0.055022314,0.6010634157881845
2020-01-06 01:00:00,0.84255964,-0.28802532,0.6659979664219559
2020-01-06 02:00:00,0.895225,-0.57383287,0.795333325474575
2020-01-06 03:00:00,1.0806541,-0.9124342,1.0578549951905554
2020-01-06 04:00:00,1.1755123,-0.81347346,1.0692217062677047
2020-01-06 05:00:00,1.137723,-0.6612261,0.9842403841402743
2020-01-06 06:00:00,1.0978756,-0.6246264,0.9447569435044171
2020-01-06 07:00:00,1.050971,-0.8139072,0.9942363292586298
2020-01-06 08:00:00,0.9401818,-0.8297678,0.9379128863566464
2020-01-06 09:00:00,0.45364952,-0.5832431,0.5526596114704472
2020-01-06 10:00:00,-0.33670944,-0.4492606,0.41992529076397345
2020-01-06 11:00:00,-1.327837,-0.18973541,1.003244874819493
2020-01-06 12:00:00,-2.1222715,-0.30350924,1.6035056429514507
2020-01-06 13:00:00,-2.661951,-0.70395684,2.0594529242757726
2020-01-06 14:00:00,-2.963213,-1.0899076,2.361504327562158
2020-01-06 15:00:00,-2.998085,-1.3203087,2.450236673767883
2020-01-06 16:00:00,-2.664424,-1.3246031,2.2255445139443326
2020-01-06 17:00:00,-1.9048204,-1.1760435,1.6743781943059555
2020-01-06 18:00:00,-0.8906351,-1.2887468,1.1717076107344047
2020-01-06 19:00:00,0.11736983,-1.495328,1.1218720991985471
2020-01-06 20:00:00,1.0477085,-1.0185909,1.0929355847782436
2020-01-06 21:00:00,1.2461824,-0.6203875,1.0411982213059845
2020-01-06 22:00:00,1.1191244,-0.49284822,0.9146248446458684
2020-01-06 23:00:00,1.1407938,-0.48109704,0.9260301459166259
2020-01-07 00:00:00,1.2434444,-0.47399414,0.9953159291313598
2020-01-07 01:00:00,1.3268118,-0.6179229,1.0947352485385882
2020-01-07 02:00:00,1.2582397,-0.7083803,1.0799983295994624
2020-01-07 03:00:00,1.0904694,-0.80448824,1.013556435380813
2020-01-07 04:00:00,1.0208292,-0.84839725,0.9927962791099424
2020-01-07 05:00:00,1.0825348,-0.87440586,1.0408263089324439
2020-01-07 06:00:00,1.1926098,-0.908158,1.1211956425730185
2020-01-07 07:00:00,1.277503,-0.9319761,1.182754823647533
2020-01-07 08:00:00,1.3357811,-0.8666561,1.1909589008481252
2020-01-07 09:00:00,1.0495558,-0.5663133,0.8920012329418355
2020-01-07 10:00:00,0.583221,-0.13657635,0.448021980295615
2020-01-07 11:00:00,-0.3064357,0.4476629,0.40576253031687853
2020-01-07 12:00:00,-0.9411628,0.8579026,0.9525104260525807
2020-01-07 13:00:00,-1.4786406,0.94264513,1.3115739026903661
2020-01-07 14:00:00,-1.9536161,0.87122875,1.599925844512544
2020-01-07 15:00:00,-2.2343292,0.70826715,1.7531228806684278
2020-01-07 16:00:00,-2.29,0.44349617,1.7446331478735457
2020-01-07 17:00:00,-1.6021109,0.2608773,1.2140829281721257
2020-01-07 18:00:00,-0.7003567,-0.3165806,0.5748639322893817
2020-01-07 19:00:00,0.33044183,-0.61881894,0.5247017710297903
2020-01-07 20:00:00,1.191433,-0.7703897,1.0611980711245539
2020-01-07 21:00:00,1.5041094,-0.8141749,1.279242523555838
2020-01-07 22:00:00,1.3386889,-0.7706233,1.1553237242259176
2020-01-07 23:00:00,1.1069431,-0.8197393,1.0302454112615391
2020-01-08 00:00:00,1.0581102,-0.99548864,1.0866148461351166
2020-01-08 01:00:00,1.1105127,-1.2366714,1.2431736200080723
2020-01-08 02:00:00,1.1969652,-1.3591604,1.354605845506554
2020-01-08 03:00:00,1.2766752,-1.3395157,1.3840534838817233
2020-01-08 04:00:00,1.4026327,-1.2695732,1.415030662366015
2020-01-08 05:00:00,1.4458132,-1.2025585,1.4065702193862586
2020-01-08 06:00:00,1.3903904,-1.1978846,1.3726711605114341
2020-01-08 07:00:00,1.2663975,-1.1632528,1.286153954232034
2020-01-08 08:00:00,1.0249567,-1.1679487,1.1622496598771312
2020-01-08 09:00:00,0.5809736,-0.7552359,0.7126806727607025
2020-01-08 10:00:00,-0.48013133,-0.5178426,0.528186421400326
2020-01-08 11:00:00,-1.0853472,-0.24842143,0.8327795219814795
2020-01-08 12:00:00,-1.2762146,0.27508253,0.9764684195430283
2020-01-08 13:00:00,-1.2585278,0.786775,1.1101234391069197
2020-01-08 14:00:00,-1.3363037,1.1125021,1.3005250885861865
2020-01-08 15:00:00,-1.5768986,1.0729265,1.4265645651904084
2020-01-08 16:00:00,-1.6912069,0.8817662,1.42654732669974
2020-01-08 17:00:00,-1.073679,0.58814204,0.9156514656687522
2020-01-08 18:00:00,-0.039710365,0.008924045,0.030442175509939808
2020-01-08 19:00:00,0.39009792,-0.8086977,0.6715619230519387
2020-01-08 20:00:00,1.2224836,-0.8828263,1.127856793073943
2020-01-08 21:00:00,1.6319151,-0.9253146,1.4031518289133744
2020-01-08 22:00:00,1.3753767,-0.78726417,1.1853186235406257
2020-01-08 23:00:00,1.0655756,-0.7705914,0.9835663088064237
2020-01-09 00:00:00,0.99292195,-0.8033055,0.9552696125056356
2020-01-09 01:00:00,1.1783457,-0.88623554,1.102793422985961
2020-01-09 02:00:00,1.3337193,-0.9725473,1.2346076764300646
2020-01-09 03:00:00,1.4407358,-0.92195374,1.2793502298201858
2020-01-09 04:00:00,1.4353495,-0.7836397,1.2231502851234997
2020-01-09 05:00:00,1.4129429,-0.7267224,1.1884029556565938
2020-01-09 06:00:00,1.410553,-0.74085337,1.1916913254478478
